,datetime,time_to_next_eruption,time_since_last_eruption,Wind Speed,RH,Temp,Wind Cumsum
213,1992-03-07 19:28:00+00:00,6120.0,6060.0,0.0,74.0,28.0,0.0
214,1992-03-07 21:10:00+00:00,6180.0,6120.0,1.0,77.0,28.0,1.0
215,1992-03-07 22:53:00+00:00,6000.0,6180.0,6.0,58.0,31.0,79.0
216,1992-03-08 17:11:00+00:00,11580.0,6000.0,2.0,45.0,26.0,44.0
217,1992-03-09 19:45:00+00:00,11460.0,12000.0,1.0,53.0,29.0,22.0
218,1992-03-10 19:29:00+00:00,5460.0,5700.0,1.0,57.0,28.0,23.0
219,1992-03-11 20:48:00+00:00,5280.0,4980.0,0.0,64.0,24.0,2.0
220,1992-03-11 22:16:00+00:00,5640.0,5280.0,0.0,44.0,38.0,7.0
221,1992-03-12 17:09:00+00:00,11460.0,5820.0,2.0,57.0,26.0,4.0
222,1992-03-12 20:20:00+00:00,5700.0,11460.0,2.0,61.0,24.0,2.0
223,1992-03-12 21:55:00+00:00,6180.0,5700.0,6.0,36.0,41.0,15.0
224,1992-03-13 17:05:00+00:00,5940.0,6060.0,3.0,37.0,39.0,3.0
225,1992-03-13 18:44:00+00:00,5640.0,5940.0,1.0,46.0,42.0,12.0
226,1992-03-14 16:53:00+00:00,5700.0,6180.0,0.0,54.0,37.0,2.0
227,1992-03-14 18:28:00+00:00,6000.0,5700.0,0.0,68.0,28.0,2.0
228,1992-03-14 20:08:00+00:00,4020.0,6000.0,0.0,71.0,26.0,0.0
229,1992-03-14 21:15:00+00:00,7680.0,4020.0,9.0,39.0,44.0,20.0
230,1992-03-15 16:22:00+00:00,6000.0,6060.0,3.0,46.0,39.0,9.0
231,1992-03-15 18:02:00+00:00,6300.0,6000.0,2.0,45.0,37.0,2.0
232,1992-03-15 19:47:00+00:00,5640.0,6300.0,7.0,56.0,34.0,9.0
233,1992-03-15 21:21:00+00:00,6120.0,5640.0,1.0,74.0,27.0,228.0
234,1992-03-23 19:13:00+00:00,5820.0,6000.0,2.0,50.0,38.0,80.0
235,1992-03-26 17:41:00+00:00,5940.0,6240.0,1.0,53.0,33.0,1.0
236,1992-03-26 19:20:00+00:00,5940.0,5940.0,1.0,59.0,37.0,72.0
237,1992-03-28 18:06:00+00:00,6240.0,6060.0,6.0,41.0,42.0,18.0
238,1992-03-29 16:50:00+00:00,12360.0,6240.0,1.0,41.0,45.0,143.0
239,1992-04-02 17:08:00+00:00,5700.0,6240.0,3.0,37.0,47.0,3.0
240,1992-04-02 18:43:00+00:00,5760.0,5700.0,3.0,27.0,52.0,20.0
241,1992-04-03 16:35:00+00:00,6000.0,6240.0,8.0,34.0,48.0,17.0
242,1992-04-03 18:15:00+00:00,11640.0,6000.0,20.0,41.0,45.0,96.0
243,1992-04-04 17:52:00+00:00,6420.0,6360.0,1.0,56.0,37.0,16.0
244,1992-04-04 19:39:00+00:00,5940.0,6420.0,2.0,57.0,27.0,301.0
245,1992-04-06 16:11:00+00:00,6360.0,6420.0,9.0,36.0,52.0,574.0
