,datetime,duration_seconds,time_to_next_eruption,time_since_last_eruption
0,2014-04-18 09:32:00+00:00,248,5280.0,5880.0
1,2014-04-18 11:00:00+00:00,245,5580.0,5280.0
2,2014-04-18 12:33:00+00:00,240,6540.0,5580.0
3,2014-04-18 14:22:00+00:00,250,5940.0,6540.0
4,2014-04-18 16:01:00+00:00,237,5700.0,5940.0
7,2014-04-19 10:46:00+00:00,149,3180.0,5940.0
8,2014-04-19 11:39:00+00:00,272,6420.0,3180.0
9,2014-04-19 13:26:00+00:00,234,5580.0,6420.0
10,2014-04-19 14:59:00+00:00,242,5640.0,5580.0
11,2014-04-19 16:33:00+00:00,126,3660.0,5640.0
14,2014-04-20 11:19:00+00:00,218,5340.0,5640.0
15,2014-04-20 12:48:00+00:00,239,5700.0,5340.0
16,2014-04-20 14:23:00+00:00,246,5580.0,5700.0
17,2014-04-20 15:56:00+00:00,239,5160.0,5580.0
20,2014-04-21 12:33:00+00:00,235,5520.0,5700.0
21,2014-04-21 14:05:00+00:00,235,6240.0,5520.0
22,2014-04-21 15:49:00+00:00,215,4800.0,6240.0
25,2014-04-22 10:20:00+00:00,264,5640.0,6120.0
26,2014-04-22 11:54:00+00:00,254,5880.0,5640.0
27,2014-04-22 13:32:00+00:00,246,5760.0,5880.0
28,2014-04-22 15:08:00+00:00,234,5400.0,5760.0
31,2014-04-23 11:15:00+00:00,132,4020.0,6000.0
32,2014-04-23 12:22:00+00:00,270,6180.0,4020.0
33,2014-04-23 14:05:00+00:00,110,4200.0,6180.0
34,2014-04-23 15:15:00+00:00,272,6540.0,4200.0
37,2014-04-24 11:39:00+00:00,234,4920.0,5460.0
38,2014-04-24 13:01:00+00:00,218,5760.0,4920.0
39,2014-04-24 14:37:00+00:00,237,6000.0,5760.0
40,2014-04-24 16:17:00+00:00,237,5880.0,6000.0
43,2014-04-25 10:40:00+00:00,255,5760.0,5520.0
44,2014-04-25 12:16:00+00:00,238,5880.0,5760.0
45,2014-04-25 13:54:00+00:00,250,6360.0,5880.0
46,2014-04-25 15:40:00+00:00,258,5340.0,6360.0
49,2014-04-26 11:33:00+00:00,254,5460.0,5280.0
50,2014-04-26 13:04:00+00:00,231,6180.0,5460.0
51,2014-04-26 14:47:00+00:00,241,5340.0,6180.0
52,2014-04-26 16:16:00+00:00,227,5220.0,5340.0
55,2014-04-27 11:09:00+00:00,264,5580.0,5580.0
56,2014-04-27 12:42:00+00:00,241,5760.0,5580.0
57,2014-04-27 14:18:00+00:00,232,5580.0,5760.0
58,2014-04-27 15:51:00+00:00,256,5280.0,5580.0
61,2014-04-28 10:40:00+00:00,245,5400.0,5760.0
62,2014-04-28 12:10:00+00:00,238,6060.0,5400.0
63,2014-04-28 13:51:00+00:00,254,5100.0,6060.0
64,2014-04-28 15:16:00+00:00,250,5400.0,5100.0
67,2014-04-29 11:13:00+00:00,254,5520.0,5520.0
68,2014-04-29 12:45:00+00:00,243,6000.0,5520.0
69,2014-04-29 14:25:00+00:00,216,5280.0,6000.0
70,2014-04-29 15:53:00+00:00,241,5520.0,5280.0
73,2014-04-30 12:56:00+00:00,96,3000.0,6240.0
74,2014-04-30 13:46:00+00:00,270,6180.0,3000.0
75,2014-04-30 15:29:00+00:00,104,3300.0,6180.0
76,2014-04-30 16:24:00+00:00,231,6240.0,3300.0
79,2014-05-01 12:02:00+00:00,248,6000.0,5160.0
80,2014-05-01 13:42:00+00:00,231,5520.0,6000.0
81,2014-05-01 15:14:00+00:00,253,5520.0,5520.0
84,2014-05-02 10:03:00+00:00,237,5820.0,5220.0
85,2014-05-02 11:40:00+00:00,228,5460.0,5820.0
86,2014-05-02 13:11:00+00:00,245,5520.0,5460.0
87,2014-05-02 14:43:00+00:00,247,5520.0,5520.0
88,2014-05-02 16:15:00+00:00,239,6180.0,5520.0
91,2014-05-03 10:50:00+00:00,254,6180.0,5580.0
92,2014-05-03 12:33:00+00:00,230,5820.0,6180.0
93,2014-05-03 14:10:00+00:00,257,5760.0,5820.0
94,2014-05-03 15:46:00+00:00,229,5760.0,5760.0
97,2014-05-04 10:43:00+00:00,243,6000.0,5280.0
98,2014-05-04 12:23:00+00:00,243,5580.0,6000.0
99,2014-05-04 13:56:00+00:00,246,6060.0,5580.0
100,2014-05-04 15:37:00+00:00,249,5700.0,6060.0
103,2014-05-05 10:20:00+00:00,210,5820.0,6060.0
104,2014-05-05 11:57:00+00:00,247,5700.0,5820.0
105,2014-05-05 13:32:00+00:00,254,5700.0,5700.0
106,2014-05-05 15:07:00+00:00,234,6060.0,5700.0
109,2014-05-06 12:34:00+00:00,254,5640.0,6000.0
110,2014-05-06 14:08:00+00:00,108,4260.0,5640.0
111,2014-05-06 15:19:00+00:00,271,5760.0,4260.0
114,2014-05-07 09:56:00+00:00,237,5760.0,5760.0
115,2014-05-07 11:32:00+00:00,246,5220.0,5760.0
116,2014-05-07 12:59:00+00:00,256,5520.0,5220.0
117,2014-05-07 14:31:00+00:00,249,7020.0,5520.0
118,2014-05-07 16:28:00+00:00,245,6000.0,7020.0
121,2014-05-08 11:30:00+00:00,231,5880.0,5520.0
122,2014-05-08 13:08:00+00:00,230,5160.0,5880.0
123,2014-05-08 14:34:00+00:00,240,5640.0,5160.0
124,2014-05-08 16:08:00+00:00,230,5880.0,5640.0
127,2014-05-09 10:39:00+00:00,262,6660.0,3300.0
128,2014-05-09 12:30:00+00:00,218,5400.0,6660.0
