datetime,duration_seconds,height,interpolated_height,time_to_next_eruption,time_since_last_eruption
2014-05-09 14:00:00+00:00,253,150.0,0.0,5760.0,5400.0
2014-05-09 15:36:00+00:00,227,130.0,0.0,5880.0,5760.0
2014-05-10 10:48:00+00:00,235,140.0,0.0,5940.0,5580.0
2014-05-10 12:27:00+00:00,243,130.0,0.0,6000.0,5940.0
2014-05-10 14:07:00+00:00,234,155.0,0.0,5700.0,6000.0
2014-05-10 15:42:00+00:00,243,150.0,0.0,5400.0,5700.0
2014-05-11 14:29:00+00:00,118,140.0,0.0,3840.0,5580.0
2014-05-11 15:33:00+00:00,275,130.0,0.0,6120.0,3840.0
2014-05-12 12:57:00+00:00,132,137.0,1.0,3960.0,6180.0
2014-05-12 14:03:00+00:00,255,130.0,0.0,5820.0,3960.0
2014-05-12 15:40:00+00:00,122,140.0,0.0,3960.0,5820.0
2014-05-12 16:46:00+00:00,258,150.0,0.0,6000.0,3960.0
2014-05-13 11:30:00+00:00,232,140.0,0.0,5100.0,6180.0
2014-05-13 12:55:00+00:00,226,120.0,0.0,5940.0,5100.0
2014-05-13 14:34:00+00:00,228,160.0,0.0,5700.0,5940.0
2014-05-13 16:09:00+00:00,240,145.0,0.0,5760.0,5700.0
2014-05-14 12:15:00+00:00,230,150.0,0.0,5160.0,6060.0
2014-05-14 13:41:00+00:00,246,130.0,0.0,5160.0,5160.0
2014-05-14 15:07:00+00:00,250,120.0,0.0,5700.0,5160.0
2014-05-15 11:00:00+00:00,245,125.0,0.0,5700.0,5280.0
2014-05-15 12:35:00+00:00,242,135.0,0.0,5580.0,5700.0
2014-05-15 14:08:00+00:00,243,135.0,0.0,5580.0,5580.0
2014-05-15 15:41:00+00:00,238,130.0,0.0,6300.0,5580.0
2014-05-16 10:15:00+00:00,268,140.0,0.0,5520.0,3720.0
2014-05-16 11:47:00+00:00,107,130.0,0.0,4380.0,5520.0
2014-05-16 13:00:00+00:00,256,155.0,0.0,6360.0,4380.0
2014-05-16 14:46:00+00:00,224,150.0,0.0,5100.0,6360.0
2014-05-16 16:11:00+00:00,249,130.0,0.0,6060.0,5100.0
2014-05-17 10:50:00+00:00,249,150.0,0.0,5640.0,5520.0
2014-05-17 12:24:00+00:00,244,150.0,0.0,5820.0,5640.0
2014-05-18 10:37:00+00:00,251,140.0,0.0,5700.0,5700.0
2014-05-18 12:12:00+00:00,241,150.0,0.0,5820.0,5700.0
2014-05-18 13:49:00+00:00,252,140.0,0.0,5520.0,5820.0
2014-05-18 15:21:00+00:00,250,140.0,0.0,5280.0,5520.0
2014-05-19 11:23:00+00:00,250,140.0,0.0,5820.0,5400.0
2014-05-19 13:00:00+00:00,240,140.0,0.0,5580.0,5820.0
2014-05-19 14:33:00+00:00,255,140.0,0.0,5520.0,5580.0
2014-05-19 16:05:00+00:00,239,140.0,0.0,5520.0,5520.0
2014-05-20 11:18:00+00:00,254,140.0,0.0,5340.0,5880.0
2014-05-20 12:47:00+00:00,241,140.0,0.0,5760.0,5340.0
2014-05-20 14:23:00+00:00,245,150.0,0.0,5040.0,5760.0
2014-05-20 15:47:00+00:00,249,110.0,0.0,6120.0,5040.0
2014-05-21 10:29:00+00:00,233,140.0,0.0,5700.0,5700.0
2014-05-21 12:04:00+00:00,254,140.0,0.0,5340.0,5700.0
2014-05-21 13:33:00+00:00,265,130.0,0.0,6360.0,5340.0
2014-05-21 15:19:00+00:00,225,150.0,0.0,5520.0,6360.0
2014-05-22 11:42:00+00:00,242,150.0,0.0,6120.0,5640.0
2014-05-22 13:24:00+00:00,228,150.0,0.0,5460.0,6120.0
2014-05-22 14:55:00+00:00,124,160.0,0.0,3660.0,5460.0
2014-05-22 15:56:00+00:00,251,130.0,0.0,6180.0,3660.0
2014-05-23 11:57:00+00:00,268,175.0,0.0,5760.0,6000.0
2014-05-23 13:33:00+00:00,246,160.0,0.0,5100.0,5760.0
2014-05-23 14:58:00+00:00,249,150.0,0.0,5760.0,5100.0
2014-05-24 09:44:00+00:00,240,150.0,0.0,5640.0,4680.0
2014-05-24 11:18:00+00:00,257,120.0,0.0,5280.0,5640.0
2014-05-24 12:46:00+00:00,249,130.0,0.0,5820.0,5280.0
2014-05-24 14:23:00+00:00,123,130.0,0.0,3840.0,5820.0
2014-05-24 15:27:00+00:00,263,140.0,0.0,6420.0,3840.0
2014-05-24 17:14:00+00:00,225,140.0,0.0,6180.0,6420.0
2014-05-25 09:56:00+00:00,225,140.0,0.0,5340.0,5460.0
2014-05-25 11:25:00+00:00,238,150.0,0.0,5940.0,5340.0
2014-05-25 13:04:00+00:00,226,150.0,0.0,5340.0,5940.0
2014-05-25 14:33:00+00:00,252,150.0,0.0,5880.0,5340.0
2014-05-25 16:11:00+00:00,251,150.0,0.0,6180.0,5880.0
2014-05-25 17:54:00+00:00,246,150.0,0.0,5040.0,6180.0
2014-05-26 10:39:00+00:00,233,120.0,0.0,5760.0,5100.0
2014-05-26 12:15:00+00:00,209,145.0,0.0,5280.0,5760.0
2014-05-26 13:43:00+00:00,252,130.0,0.0,5340.0,5280.0
2014-05-26 15:12:00+00:00,252,140.0,0.0,5880.0,5340.0
2014-05-26 16:50:00+00:00,238,130.0,0.0,6060.0,5880.0
2014-05-26 18:31:00+00:00,247,160.0,0.0,5760.0,6060.0
2014-05-27 10:10:00+00:00,134,140.0,0.0,4140.0,5640.0
2014-05-27 11:19:00+00:00,285,120.0,0.0,5940.0,4140.0
2014-05-27 12:58:00+00:00,244,140.0,0.0,5460.0,5940.0
2014-05-27 14:29:00+00:00,245,130.0,0.0,6120.0,5460.0
2014-05-27 16:11:00+00:00,198,130.0,0.0,5520.0,6120.0
2014-05-27 17:43:00+00:00,263,140.0,0.0,6540.0,5520.0
2014-05-28 10:16:00+00:00,265,140.0,0.0,5760.0,6000.0
2014-05-28 11:52:00+00:00,236,135.0,0.0,6420.0,5760.0
2014-05-28 13:39:00+00:00,246,150.0,0.0,5460.0,6420.0
2014-05-28 15:10:00+00:00,260,125.0,0.0,5760.0,5460.0
2014-05-28 16:46:00+00:00,241,130.0,0.0,5820.0,5760.0
2014-05-28 18:23:00+00:00,250,140.0,0.0,5460.0,5820.0
2014-05-29 11:35:00+00:00,245,140.0,0.0,5640.0,5460.0
2014-05-29 13:09:00+00:00,255,135.0,0.0,5220.0,5640.0
2014-05-29 14:36:00+00:00,244,120.0,0.0,5940.0,5220.0
2014-05-29 16:15:00+00:00,124,150.0,0.0,3480.0,5940.0
2014-05-29 17:13:00+00:00,276,120.0,0.0,6060.0,3480.0
2014-05-29 18:54:00+00:00,115,130.0,0.0,4260.0,6060.0
2014-05-30 10:19:00+00:00,221,150.0,0.0,5700.0,6540.0
2014-05-30 11:54:00+00:00,255,150.0,0.0,6000.0,5700.0
2014-05-30 13:34:00+00:00,249,150.0,0.0,5160.0,6000.0
2014-05-31 10:41:00+00:00,220,150.0,0.0,5760.0,5820.0
2014-05-31 12:17:00+00:00,238,145.0,0.0,5640.0,5760.0
2014-05-31 13:51:00+00:00,236,120.0,0.0,6120.0,5640.0
2014-05-31 15:33:00+00:00,220,140.0,0.0,5460.0,6120.0
2014-05-31 17:04:00+00:00,239,150.0,0.0,5760.0,5460.0
2014-05-31 18:40:00+00:00,248,150.0,0.0,5460.0,5760.0
2014-06-01 09:59:00+00:00,225,140.0,0.0,5520.0,5220.0
2014-06-01 11:31:00+00:00,243,130.0,0.0,5460.0,5520.0
2014-06-01 13:02:00+00:00,231,145.0,0.0,5280.0,5460.0
2014-06-01 14:30:00+00:00,208,130.0,0.0,5640.0,5280.0
2014-06-01 16:04:00+00:00,99,130.0,0.0,4620.0,5640.0
2014-06-01 17:21:00+00:00,272,140.0,0.0,5760.0,4620.0
2014-06-02 09:02:00+00:00,265,150.0,0.0,5880.0,5040.0
2014-06-02 10:40:00+00:00,239,140.0,0.0,5760.0,5880.0
2014-06-02 12:16:00+00:00,122,140.0,0.0,3900.0,5760.0
2014-06-02 13:21:00+00:00,239,135.0,0.0,6360.0,3900.0
2014-06-02 15:07:00+00:00,230,160.0,0.0,6240.0,6360.0
2014-06-02 16:51:00+00:00,251,150.0,0.0,5100.0,6240.0
2014-06-02 18:16:00+00:00,245,130.0,0.0,5700.0,5100.0
2014-06-03 09:45:00+00:00,236,137.0,1.0,5400.0,5880.0
2014-06-03 11:15:00+00:00,225,140.0,0.0,5940.0,5400.0
2014-06-03 12:54:00+00:00,237,135.0,0.0,6420.0,5940.0
2014-06-03 14:41:00+00:00,241,155.0,0.0,5160.0,6420.0
2014-06-03 16:07:00+00:00,241,130.0,0.0,6240.0,5160.0
2014-06-03 17:51:00+00:00,244,155.0,0.0,5520.0,6240.0
2014-06-04 09:22:00+00:00,218,140.0,0.0,5460.0,6180.0
2014-06-04 10:53:00+00:00,217,150.0,0.0,5700.0,5460.0
2014-06-04 12:28:00+00:00,250,135.0,0.0,6540.0,5700.0
2014-06-04 14:17:00+00:00,223,130.0,0.0,5340.0,6540.0
2014-06-04 15:46:00+00:00,242,135.0,0.0,5760.0,5340.0
2014-06-04 17:22:00+00:00,105,150.0,0.0,4020.0,5760.0
2014-06-04 18:29:00+00:00,248,135.0,0.0,6120.0,4020.0
2014-06-05 10:08:00+00:00,261,145.0,0.0,5700.0,5640.0
2014-06-05 11:43:00+00:00,237,155.0,0.0,5580.0,5700.0
2014-06-05 13:16:00+00:00,244,145.0,0.0,5760.0,5580.0
2014-06-05 14:52:00+00:00,228,135.0,0.0,5760.0,5760.0
2014-06-05 16:28:00+00:00,120,150.0,0.0,4200.0,5760.0
2014-06-05 17:38:00+00:00,258,145.0,0.0,5700.0,4200.0
2014-06-05 19:13:00+00:00,149,140.0,0.0,4200.0,5700.0
2014-06-06 10:24:00+00:00,211,130.0,0.0,5700.0,3120.0
